ID_Solo,Tipo_Solo,pH,Textura,Drenagem,Culturas_Indicadas,Insumos_Recomendados,Quantidade_Insumos_kg_ha,Produtividade_Estimada_ton_ha,Comentarios_Adicionais,a,b,c
1,Arenoso,4.5,Textura indefinida,Boa,Milho,Fosfato,100,4.0,Solo Arenoso com pH 4.5 e drenagem Boa,2.0,0.02,5
2,Arenoso,4.5,Textura indefinida,Moderada,Milho,Fosfato,100,3.8,Solo Arenoso com pH 4.5 e drenagem Moderada,2.5,0.03,6
3,Arenoso,4.5,Textura indefinida,Baixa,Milho,Fosfato,100,3.5,Solo Arenoso com pH 4.5 e drenagem Baixa,2.2,25,4
4,Arenoso,5.0,Textura indefinida,Boa,Soja,Calcário,150,3.5,Solo Arenoso com pH 5.0 e drenagem Boa,1.8,0.04,8
5,Arenoso,5.0,Textura indefinida,Moderada,Soja,Calcário,150,3.2,Solo Arenoso com pH 5.0 e drenagem Moderada,2.3,0.03,7
6,Arenoso,5.0,Textura indefinida,Baixa,Soja,Calcário,150,2.8,Solo Arenoso com pH 5.0 e drenagem Baixa,3.0,0.05,5
7,Arenoso,5.5,Textura indefinida,Boa,Cana-de-açúcar,Nitrogênio,120,5.0,Solo Arenoso com pH 5.5 e drenagem Boa,1.5,0.01,3
8,Arenoso,5.5,Textura indefinida,Moderada,Cana-de-açúcar,Nitrogênio,120,4.7,Solo Arenoso com pH 5.5 e drenagem Moderada,2.1,0.02,5
9,Arenoso,5.5,Textura indefinida,Baixa,Cana-de-açúcar,Nitrogênio,120,4.0,Solo Arenoso com pH 5.5 e drenagem Baixa,3.1,0.03,5
10,Arenoso,6.0,Textura indefinida,Boa,Milho,Fosfato,100,4.5,Solo Arenoso com pH 6.0 e drenagem Boa,4.1,0.04,5
11,Arenoso,6.0,Textura indefinida,Moderada,Milho,Fosfato,100,4.2,Solo Arenoso com pH 6.0 e drenagem Moderada,5.1,0.05,5
12,Arenoso,6.0,Textura indefinida,Baixa,Milho,Fosfato,100,3.8,Solo Arenoso com pH 6.0 e drenagem Baixa,6.1,0.06,5
13,Argiloso,5.5,Textura indefinida,Boa,Soja,Calcário,200,5.0,Solo Argiloso com pH 5.5 e drenagem Boa,7.1,0.07,5
14,Argiloso,5.5,Textura indefinida,Moderada,Soja,Calcário,200,4.8,Solo Argiloso com pH 5.5 e drenagem Moderada,8.1,0.08,5
15,Argiloso,5.5,Textura indefinida,Baixa,Soja,Calcário,200,4.5,Solo Argiloso com pH 5.5 e drenagem Baixa,9.1,0.09,5
16,Argiloso,6.0,Textura indefinida,Boa,Algodão,Fosfato,180,4.0,Solo Argiloso com pH 6.0 e drenagem Boa,10.1,0.10,5
17,Argiloso,6.0,Textura indefinida,Moderada,Algodão,Fosfato,180,3.7,Solo Argiloso com pH 6.0 e drenagem Moderada,11.1,0.11,5
18,Argiloso,6.0,Textura indefinida,Baixa,Algodão,Fosfato,180,3.4,Solo Argiloso com pH 6.0 e drenagem Baixa,12.1,0.12,5
19,Argiloso,6.5,Textura indefinida,Boa,Feijão,Potássio,150,4.5,Solo Argiloso com pH 6.5 e drenagem Boa,13.1,0.13,5
20,Argiloso,6.5,Textura indefinida,Moderada,Feijão,Potássio,150,4.2,Solo Argiloso com pH 6.5 e drenagem Moderada,14.1,0.14,5
21,Argiloso,6.5,Textura indefinida,Baixa,Feijão,Potássio,150,3.8,Solo Argiloso com pH 6.5 e drenagem Baixa,15.1,0.15,5
22,Pedregoso,6.5,Textura indefinida,Boa,Oliva,Fosfato,50,3.0,Solo Pedregoso com pH 6.5 e drenagem Boa,16.1,0.16,5
23,Pedregoso,6.5,Textura indefinida,Moderada,Oliva,Fosfato,50,2.8,Solo Pedregoso com pH 6.5 e drenagem Moderada,17.1,0.17,5
24,Pedregoso,6.5,Textura indefinida,Baixa,Oliva,Fosfato,50,2.5,Solo Pedregoso com pH 6.5 e drenagem Baixa,18.1,0.18,5
25,Pedregoso,7.0,Textura indefinida,Boa,Cerveja,Magnesiano,70,3.5,Solo Pedregoso com pH 7.0 e drenagem Boa,19.1,0.19,5
26,Pedregoso,7.0,Textura indefinida,Moderada,Cerveja,Magnesiano,70,3.2,Solo Pedregoso com pH 7.0 e drenagem Moderada,20.1,0.20,5
27,Pedregoso,7.0,Textura indefinida,Baixa,Cerveja,Magnesiano,70,3.0,Solo Pedregoso com pH 7.0 e drenagem Baixa,21.1,0.21,5
28,Pedregoso,7.5,Textura indefinida,Boa,Tomate,Fosfato,50,4.0,Solo Pedregoso com pH 7.5 e drenagem Boa,22.1,0.22,5
29,Pedregoso,7.5,Textura indefinida,Moderada,Tomate,Fosfato,50,3.7,Solo Pedregoso com pH 7.5 e drenagem Moderada,23.1,0.23,5
30,Pedregoso,7.5,Textura indefinida,Baixa,Tomate,Fosfato,50,3.5,Solo Pedregoso com pH 7.5 e drenagem Baixa,24.1,0.24,5
31,Calcário,6.0,Textura indefinida,Boa,Milho,Fosfato,150,4.5,Solo Calcário com pH 6.0 e drenagem Boa,25.1,0.25,5
32,Calcário,6.0,Textura indefinida,Moderada,Milho,Fosfato,150,4.2,Solo Calcário com pH 6.0 e drenagem Moderada,26.1,0.26,5
33,Calcário,6.0,Textura indefinida,Baixa,Milho,Fosfato,150,3.8,Solo Calcário com pH 6.0 e drenagem Baixa,27.1,0.27,5
34,Calcário,6.5,Textura indefinida,Boa,Feijão,Calcário,120,4.0,Solo Calcário com pH 6.5 e drenagem Boa,28.1,0.28,5
35,Calcário,6.5,Textura indefinida,Moderada,Feijão,Calcário,120,3.7,Solo Calcário com pH 6.5 e drenagem Moderada,29.1,0.29,5
36,Calcário,6.5,Textura indefinida,Baixa,Feijão,Calcário,120,3.3,Solo Calcário com pH 6.5 e drenagem Baixa,30.1,0.30,5
37,Calcário,7.0,Textura indefinida,Boa,Sorgo,Nitrogênio,100,4.8,Solo Calcário com pH 7.0 e drenagem Boa,31.1,0.31,5
38,Calcário,7.0,Textura indefinida,Moderada,Sorgo,Nitrogênio,100,4.5,Solo Calcário com pH 7.0 e drenagem Moderada,1.2,0.32,5
39,Calcário,7.0,Textura indefinida,Baixa,Sorgo,Nitrogênio,100,4.2,Solo Calcário com pH 7.0 e drenagem Baixa,2.2,0.33,5
40,Siltoso,5.5,Textura indefinida,Boa,Arroz,Nitrogênio,180,5.0,Solo Siltoso com pH 5.5 e drenagem Boa,3.2,0.34,5
41,Siltoso,5.5,Textura indefinida,Moderada,Arroz,Nitrogênio,180,4.7,Solo Siltoso com pH 5.5 e drenagem Moderada,4.2,0.35,5
42,Siltoso,5.5,Textura indefinida,Baixa,Arroz,Nitrogênio,180,4.2,Solo Siltoso com pH 5.5 e drenagem Baixa,5.2,0.36,5
43,Siltoso,6.0,Textura indefinida,Boa,Soja,Potássio,160,4.2,Solo Siltoso com pH 6.0 e drenagem Boa,6.2,0.37,5
44,Siltoso,6.0,Textura indefinida,Moderada,Soja,Potássio,160,3.8,Solo Siltoso com pH 6.0 e drenagem Moderada,7.2,0.38,5
45,Siltoso,6.0,Textura indefinida,Baixa,Soja,Potássio,160,3.5,Solo Siltoso com pH 6.0 e drenagem Baixa,8.2,0.39,5
46,Siltoso,6.5,Textura indefinida,Boa,Tomate,Fosfato,140,4.5,Solo Siltoso com pH 6.5 e drenagem Boa,9.2,0.40,5
47,Siltoso,6.5,Textura indefinida,Moderada,Tomate,Fosfato,140,4.2,Solo Siltoso com pH 6.5 e drenagem Moderada,10.2,0.41,5
48,Siltoso,6.5,Textura indefinida,Baixa,Tomate,Fosfato,140,3.8,Solo Siltoso com pH 6.5 e drenagem Baixa,11.2,0.42,5
49,Aluvial,5.5,Textura indefinida,Boa,Arroz,Calcário,100,5.5,Solo Aluvial com pH 5.5 e drenagem Boa,12.2,0.43,5
50,Aluvial,5.5,Textura indefinida,Moderada,Arroz,Calcário,100,5.2,Solo Aluvial com pH 5.5 e drenagem Moderada,13.2,0.44,5
51,Aluvial,5.5,Textura indefinida,Baixa,Arroz,Calcário,100,4.8,Solo Aluvial com pH 5.5 e drenagem Baixa,14.2,0.45,5
52,Aluvial,6.0,Textura indefinida,Boa,Cebola,Fosfato,90,5.0,Solo Aluvial com pH 6.0 e drenagem Boa,15.2,0.46,5
53,Aluvial,6.0,Textura indefinida,Moderada,Cebola,Fosfato,90,4.7,Solo Aluvial com pH 6.0 e drenagem Moderada,16.2,0.47,5
54,Aluvial,6.0,Textura indefinida,Baixa,Cebola,Fosfato,90,4.4,Solo Aluvial com pH 6.0 e drenagem Baixa,17.2,0.48,5
55,Aluvial,6.5,Textura indefinida,Boa,Milho,Nitrato,80,5.3,Solo Aluvial com pH 6.5 e drenagem Boa,18.2,0.49,5
56,Aluvial,6.5,Textura indefinida,Moderada,Milho,Nitrato,80,5.0,Solo Aluvial com pH 6.5 e drenagem Moderada,19.2,0.50,5
57,Aluvial,6.5,Textura indefinida,Baixa,Milho,Nitrato,80,4.7,Solo Aluvial com pH 6.5 e drenagem Baixa,20.2,0.51,5
58,Aluvial,7.0,Textura indefinida,Boa,Arroz,Calcário,100,5.5,Solo Aluvial com pH 7.0 e drenagem Boa,21.2,0.52,5
59,Aluvial,7.0,Textura indefinida,Moderada,Arroz,Calcário,100,5.2,Solo Aluvial com pH 7.0 e drenagem Moderada,22.2,0.53,5
60,Aluvial,7.0,Textura indefinida,Baixa,Arroz,Calcário,100,4.8,Solo Aluvial com pH 7.0 e drenagem Baixa,23.2,0.54,5
61,Latossolo,6.0,Textura indefinida,Boa,Café,Calcário,200,6.0,Solo Latossolo com pH 6.0 e drenagem Boa,24.2,0.55,5
62,Latossolo,6.0,Textura indefinida,Moderada,Café,Calcário,200,5.7,Solo Latossolo com pH 6.0 e drenagem Moderada,25.2,0.56,5
63,Latossolo,6.0,Textura indefinida,Baixa,Café,Calcário,200,5.5,Solo Latossolo com pH 6.0 e drenagem Baixa,26.2,0.57,5
64,Latossolo,6.5,Textura indefinida,Boa,Cana-de-açúcar,Fosfato,250,5.5,Solo Latossolo com pH 6.5 e drenagem Boa,27.2,0.58,5
65,Latossolo,6.5,Textura indefinida,Moderada,Cana-de-açúcar,Fosfato,250,5.2,Solo Latossolo com pH 6.5 e drenagem Moderada,28.2,0.59,5
66,Latossolo,6.5,Textura indefinida,Baixa,Cana-de-açúcar,Fosfato,250,4.9,Solo Latossolo com pH 6.5 e drenagem Baixa,29.2,0.60,5
67,Latossolo,6.8,Textura indefinida,Boa,Cacau,Potássio,150,5.0,Solo Latossolo com pH 6.8 e drenagem Boa,1.3,0.61,5
68,Latossolo,6.8,Textura indefinida,Moderada,Cacau,Potássio,150,4.7,Solo Latossolo com pH 6.8 e drenagem Moderada,2.3,0.62,5
69,Latossolo,6.8,Textura indefinida,Baixa,Cacau,Potássio,150,4.5,Solo Latossolo com pH 6.8 e drenagem Baixa,3.3,0.63,5
70,Latossolo,7.0,Textura indefinida,Boa,Café,Calcário,200,6.0,Solo Latossolo com pH 7.0 e drenagem Boa,4.3,0.64,5
71,Latossolo,7.0,Textura indefinida,Moderada,Café,Calcário,200,5.8,Solo Latossolo com pH 7.0 e drenagem Moderada,5.3,0.65,5
72,Latossolo,7.0,Textura indefinida,Baixa,Café,Calcário,200,5.5,Solo Latossolo com pH 7.0 e drenagem Baixa,6.3,0.66,5